	Ch0	Gen
	18:31.0	18:31.0
	4.00E-05	4.00E-05
		
Time	Ch0	Gen
0.01448	-2.47E-03	5.26E-02
0.01452	-2.14E-03	5.20E-02
0.01456	-1.49E-03	5.23E-02
0.0146	-1.16E-03	5.10E-02
0.01464	-1.82E-03	5.13E-02
0.01468	-1.82E-03	5.07E-02
0.01472	-1.82E-03	5.03E-02
0.01476	-2.47E-03	4.97E-02
0.0148	-2.79E-03	4.94E-02
0.01484	-1.82E-03	4.90E-02
0.01488	-2.47E-03	4.84E-02
0.01492	-2.79E-03	4.81E-02
0.01496	-1.49E-03	4.77E-02
0.015	-1.82E-03	4.68E-02
0.01504	-2.14E-03	4.64E-02
0.01508	-2.14E-03	4.64E-02
0.01512	-1.82E-03	4.64E-02
0.01516	-2.14E-03	4.58E-02
0.0152	-2.47E-03	4.51E-02
0.01524	-2.14E-03	4.48E-02
0.01528	-2.14E-03	4.48E-02
0.01532	-1.16E-03	4.51E-02
0.01536	-2.47E-03	4.42E-02
0.0154	-2.14E-03	4.35E-02
0.01544	-2.14E-03	4.35E-02
0.01548	-2.79E-03	4.28E-02
0.01552	-2.14E-03	4.19E-02
0.01556	-2.47E-03	4.25E-02
0.0156	-2.14E-03	4.22E-02
0.01564	-2.47E-03	4.15E-02
0.01568	-1.49E-03	4.12E-02
0.01572	-2.14E-03	4.09E-02
0.01576	-2.14E-03	4.09E-02
0.0158	-2.14E-03	4.06E-02
0.01584	-1.82E-03	4.02E-02
0.01588	-1.82E-03	3.99E-02
0.01592	-1.82E-03	3.93E-02
0.01596	-2.14E-03	3.83E-02
0.016	-2.14E-03	3.93E-02
0.01604	-1.82E-03	3.93E-02
0.01608	-2.47E-03	3.80E-02
0.01612	-2.79E-03	3.76E-02
0.01616	-2.14E-03	3.70E-02
0.0162	-2.79E-03	3.73E-02
0.01624	-1.82E-03	3.67E-02
0.01628	-2.14E-03	3.67E-02
0.01632	-2.47E-03	3.60E-02
0.01636	-1.49E-03	3.60E-02
0.0164	-2.14E-03	3.57E-02
0.01644	-2.14E-03	3.60E-02
0.01648	-1.82E-03	3.53E-02
0.01652	-1.49E-03	3.53E-02
0.01656	-2.47E-03	3.44E-02
0.0166	-1.82E-03	3.44E-02
0.01664	-1.82E-03	3.37E-02
0.01668	-1.49E-03	3.50E-02
0.01672	-1.49E-03	3.34E-02
0.01676	-1.49E-03	3.34E-02
0.0168	-2.79E-03	3.27E-02
0.01684	-2.14E-03	3.24E-02
0.01688	-1.82E-03	3.24E-02
0.01692	-2.47E-03	3.24E-02
0.01696	-1.16E-03	3.14E-02
0.017	-1.49E-03	3.18E-02
0.01704	-2.47E-03	3.24E-02
0.01708	-2.47E-03	3.08E-02
0.01712	-2.14E-03	3.11E-02
0.01716	-2.14E-03	3.01E-02
0.0172	-1.49E-03	3.01E-02
0.01724	-2.47E-03	3.01E-02
0.01728	-2.14E-03	3.01E-02
0.01732	-2.14E-03	2.92E-02
0.01736	-1.82E-03	2.88E-02
0.0174	-2.14E-03	2.98E-02
0.01744	-2.14E-03	2.92E-02
0.01748	-2.14E-03	2.85E-02
0.01752	-2.14E-03	2.79E-02
0.01756	-2.14E-03	2.79E-02
0.0176	-1.82E-03	2.85E-02
0.01764	-2.79E-03	2.75E-02
0.01768	-1.82E-03	2.72E-02
0.01772	-2.47E-03	2.65E-02
0.01776	-1.49E-03	2.65E-02
0.0178	-1.16E-03	2.65E-02
0.01784	-2.14E-03	2.65E-02
0.01788	-1.82E-03	2.72E-02
0.01792	-1.82E-03	2.65E-02
0.01796	-2.47E-03	2.59E-02
0.018	-2.14E-03	2.56E-02
0.01804	-3.12E-03	2.59E-02
0.01808	-2.47E-03	2.56E-02
0.01812	-2.14E-03	2.49E-02
0.01816	-1.16E-03	2.49E-02
0.0182	-2.14E-03	2.49E-02
0.01824	-1.82E-03	2.43E-02
0.01828	-1.82E-03	2.46E-02
0.01832	-1.82E-03	2.33E-02
0.01836	-2.47E-03	2.39E-02
0.0184	-2.47E-03	2.36E-02
0.01844	-1.82E-03	2.30E-02
0.01848	-1.82E-03	2.39E-02
0.01852	-2.14E-03	2.26E-02
0.01856	-1.82E-03	2.26E-02
0.0186	-2.47E-03	2.23E-02
0.01864	-1.16E-03	2.30E-02
0.01868	-1.82E-03	2.20E-02
0.01872	-1.82E-03	2.23E-02
0.01876	-2.47E-03	2.17E-02
0.0188	-2.14E-03	2.20E-02
0.01884	-2.79E-03	2.17E-02
0.01888	-1.82E-03	2.07E-02
0.01892	-2.47E-03	2.17E-02
0.01896	-2.14E-03	2.17E-02
0.019	-2.47E-03	2.10E-02
0.01904	-1.49E-03	2.10E-02
0.01908	-1.49E-03	2.07E-02
0.01912	-1.49E-03	2.04E-02
0.01916	-2.14E-03	2.04E-02
0.0192	-2.47E-03	2.00E-02
0.01924	-2.79E-03	1.97E-02
0.01928	-2.14E-03	1.97E-02
0.01932	-2.14E-03	1.97E-02
0.01936	-2.14E-03	1.90E-02
0.0194	-2.47E-03	1.94E-02
0.01944	-1.82E-03	1.90E-02
0.01948	-2.14E-03	1.87E-02
0.01952	-2.79E-03	1.94E-02
0.01956	-3.12E-03	1.94E-02
0.0196	-1.82E-03	1.84E-02
0.01964	-3.12E-03	1.81E-02
0.01968	-2.79E-03	1.77E-02
0.01972	-1.49E-03	1.81E-02
0.01976	-2.47E-03	1.77E-02
0.0198	-1.82E-03	1.81E-02
0.01984	-2.14E-03	1.74E-02
0.01988	-1.82E-03	1.71E-02
0.01992	-2.47E-03	1.74E-02
0.01996	-1.82E-03	1.77E-02
0.02	-1.49E-03	1.64E-02
0.02004	-1.49E-03	1.68E-02
0.02008	-3.12E-03	1.68E-02
0.02012	-1.82E-03	1.71E-02
0.02016	-1.82E-03	1.61E-02
0.0202	-2.47E-03	1.74E-02
0.02024	-2.14E-03	1.64E-02
0.02028	-1.49E-03	1.61E-02
0.02032	-1.82E-03	1.55E-02
0.02036	-2.47E-03	1.64E-02
0.0204	-1.82E-03	1.61E-02
0.02044	-1.49E-03	1.61E-02
0.02048	-1.82E-03	1.55E-02
0.02052	-1.82E-03	1.58E-02
0.02056	-1.49E-03	1.51E-02
0.0206	-2.14E-03	1.51E-02
0.02064	-1.49E-03	1.48E-02
0.02068	-2.47E-03	1.45E-02
0.02072	-2.14E-03	1.55E-02
0.02076	-2.14E-03	1.48E-02
0.0208	-2.47E-03	1.38E-02
0.02084	-2.14E-03	1.42E-02
0.02088	-1.82E-03	1.45E-02
0.02092	-8.37E-04	1.42E-02
0.02096	-1.49E-03	1.35E-02
0.021	-2.14E-03	1.42E-02
0.02104	-1.82E-03	1.38E-02
0.02108	-2.14E-03	1.35E-02
0.02112	-1.16E-03	1.35E-02
0.02116	-1.49E-03	1.35E-02
0.0212	-2.14E-03	1.38E-02
0.02124	-2.47E-03	1.29E-02
0.02128	-2.14E-03	1.29E-02
0.02132	-1.82E-03	1.32E-02
0.02136	-2.14E-03	1.32E-02
0.0214	-1.82E-03	1.29E-02
0.02144	-2.14E-03	1.29E-02
0.02148	-2.47E-03	1.29E-02
0.02152	-1.49E-03	1.29E-02
0.02156	-2.47E-03	1.22E-02
0.0216	-1.82E-03	1.29E-02
0.02164	-2.14E-03	1.19E-02
0.02168	-1.82E-03	1.22E-02
0.02172	-2.79E-03	1.19E-02
0.02176	-2.47E-03	1.19E-02
0.0218	-1.49E-03	1.19E-02
0.02184	-2.14E-03	1.16E-02
0.02188	-1.16E-03	1.16E-02
0.02192	-2.14E-03	1.09E-02
0.02196	-2.79E-03	1.16E-02
0.022	-1.49E-03	1.16E-02
0.02204	-2.14E-03	1.09E-02
0.02208	-1.49E-03	1.06E-02
0.02212	-1.49E-03	1.12E-02
0.02216	-2.14E-03	1.06E-02
0.0222	-1.82E-03	1.12E-02
0.02224	-2.14E-03	1.06E-02
0.02228	-2.79E-03	1.02E-02
0.02232	-2.14E-03	1.12E-02
0.02236	-1.49E-03	1.06E-02
0.0224	-2.47E-03	1.02E-02
0.02244	-1.82E-03	9.92E-03
0.02248	-1.16E-03	1.02E-02
0.02252	-2.47E-03	1.02E-02
0.02256	-2.14E-03	9.92E-03
0.0226	-1.49E-03	9.59E-03
0.02264	-1.82E-03	9.27E-03
0.02268	-2.14E-03	9.27E-03
0.02272	-1.49E-03	9.59E-03
0.02276	-2.47E-03	9.27E-03
0.0228	-1.82E-03	8.94E-03
0.02284	-1.16E-03	9.59E-03
0.02288	-1.49E-03	9.27E-03
0.02292	-2.47E-03	9.59E-03
0.02296	-2.47E-03	8.94E-03
0.023	-1.49E-03	9.59E-03
0.02304	-1.49E-03	9.59E-03
0.02308	-1.82E-03	8.29E-03
0.02312	-1.49E-03	9.27E-03
0.02316	-1.82E-03	8.94E-03
0.0232	-2.14E-03	8.29E-03
0.02324	-1.49E-03	8.94E-03
0.02328	-2.14E-03	7.96E-03
0.02332	-1.49E-03	8.94E-03
0.02336	-1.82E-03	8.94E-03
0.0234	-1.16E-03	7.96E-03
0.02344	-2.14E-03	7.96E-03
0.02348	-2.79E-03	7.64E-03
0.02352	-2.14E-03	7.64E-03
0.02356	-1.49E-03	7.96E-03
0.0236	-1.49E-03	7.96E-03
0.02364	-1.82E-03	7.96E-03
0.02368	-2.47E-03	7.96E-03
0.02372	-2.47E-03	6.99E-03
0.02376	-2.14E-03	8.29E-03
0.0238	-2.14E-03	7.64E-03
0.02384	-1.82E-03	7.64E-03
0.02388	-1.49E-03	7.64E-03
0.02392	-2.47E-03	6.66E-03
0.02396	-1.82E-03	6.99E-03
0.024	-1.49E-03	7.96E-03
0.02404	-2.79E-03	7.96E-03
0.02408	-2.14E-03	6.99E-03
0.02412	-2.14E-03	6.99E-03
0.02416	-2.14E-03	6.99E-03
0.0242	-2.47E-03	7.64E-03
0.02424	-2.14E-03	6.33E-03
0.02428	-2.14E-03	6.33E-03
0.02432	-2.14E-03	6.66E-03
0.02436	-2.79E-03	6.33E-03
0.0244	-1.82E-03	6.33E-03
0.02444	-2.14E-03	6.66E-03
0.02448	-2.47E-03	6.33E-03
0.02452	-1.49E-03	6.33E-03
0.02456	-2.14E-03	7.31E-03
0.0246	-2.14E-03	6.33E-03
