Frequency,DB(MAG(V(C2.nA))),PHDEG(V(C2.nA)),
1995.2623149688795,-9.105455459322377,-160.7563689672322,
2154.4346900318837,-10.777929965654982,-162.92955744762472,
2326.305067153626,-12.397366096165921,-164.74884166671836,
2511.8864315095802,-13.972301660664952,-166.29439011660966,
2712.2725793320283,-15.5099473868791,-167.62394702149544,
2928.6445646252364,-17.016323172405038,-168.77998224820013,
3162.2776601683795,-18.496434295666923,-169.7943422332953,
3414.5488738336016,-19.954440878839694,-170.69133706266717,
3686.945064519575,-21.39380565856948,-171.48983121043912,
3981.0717055349724,-22.817417586599372,-172.20468698572512,
4298.662347082277,-24.227693301177318,-172.84777915029593,
4641.588833612779,-25.626659796356865,-173.42872003880663,
5011.872336272723,-27.016021645081057,-173.95538574181705,
5411.695265464637,-28.397215727743937,-174.43430330270616,
